,Description,Name
32,"Career Pathways in Accountancy is an enrichment program where you will explore accounting-related career paths, build skills for success, and connect with other Accountancy students and professionals. The goal of CPA is to accelerate students’ learning by providing experiences that connect the classroom to real-world accounting and related careers. The course is intended for students who are in the early stages of deciding their specific career path and interviewing for internships and full-time positions. Prerequisite: Restricted to Gies College of Business Accountancy and Accountancy + DS majors and/or intention to declare Accountancy major.",ACCY 375
33,"Course covers the professional standards relating to corporate financial reporting, taxation, auditing and public sector reporting. Serves as a review course for the Uniform Certified Public Accountant (CPA) Examination. Approved for Letter and S/U grading. May be repeated up to 16 hours in separate terms, if topics vary. Credit is not given towards degree requirements. Prerequisite: Consent of the Department. Intended for students enrolled in the BS in Accountancy, MAS, and MSA programs. Students from other UIUC programs must demonstrate that they have taken courses in financial accounting (beyond introductory level), cost/managerial accounting (beyond introductory level), auditing, and taxation.",ACCY 398
34,"Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACCY 304 or consent of department.",ACCY 405
35,"Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues, but are selected based on relevance of the underlying business transaction, complexity of the topic, consistency of applicable standard with underlying reporting concepts, and transferability of the standard to other accounting issues. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given toward graduation for both ACCY 410 and ACCY 506 or ACCY 532. Prerequisite: ACCY 303 or consent of department.",ACCY 410
36,"In this Governmental and Nonprofit Accounting course, students will experience an in-depth study of governmental and nonprofit accounting practices, focusing on financial reporting, budgeting, and fund accounting. Students will gain a comprehensive understanding of the unique accounting principles and regulations applicable to the public and nonprofit sectors. By the end of the course, students will know how to create and analyze financial transactions for governmental and nonprofit entities. 3 undergraduate hours. 4 graduate hours. Credit is not given toward graduation for both ACCY 419 and ACCY 519. Prerequisite: ACCY 301 or ACCY 501 or consent of department.",ACCY 419
37,"Tax in Action allows students to gain hands-on experience while providing a valuable service to the community through the Internal Revenue Service’s Volunteer Income Tax Assistance (VITA) program. Students will participate in a training and certification program through the IRS VITA program and will prepare tax returns for members of the community. Students taking the course for two credit hours will serve as team leads. They will be responsible for quality review, progress of the team toward goals and deadlines, training and communication with faculty. 1 undergraduate hour. 1 or 2 graduate hours. May be repeated in separate terms to a maximum of 2 undergraduate or 4 graduate hours. Prerequisite: ACCY 312 or ACCY 505 or concurrent enrollment in either or consent of the department. For 1 Credit Hour Section: Restricted to Junior, Senior, or Graduate Accountancy majors. For 2 credit hour section: Restricted to Master of Accounting Science or Master of Science in Accountancy programs.",ACCY 449
38,"An introduction to U.S. federal taxation of business entities including taxable corporations and flow through entities (partnerships, Subchapter S corporations, and limited liability companies). Practical problems facilitate self-discovery of technical tax knowledge and the development of data analysis skills. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Senior standing and ACCY 312.",ACCY 451
39,"A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes. 2 or 4 graduate hours. No professional credit. Prerequisite: Enrollment in a non-accountancy masters program in business or consent of department.",ACCY 500
40,"Addresses the conceptual framework and financial statements--balance sheet, income statement and the statement of cash flows. It also provides in-depth analysis of accounting issues related to the measurement, recognition and disclosure of current and non-current assets, and revenue recognition. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate degree program or consent of department.",ACCY 501
41,"Measurement and reporting of firm's liabilities and shareholders' equity. Topics include contingencies, subsequent events, bonds, leases, deferred taxes, pensions, equity transactions, and earning per share. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: ACCY 501 or equivalent; enrollment in graduate degree program or consent of department.",ACCY 502
42,"Introduction to management accounting principles, as used to facilitate and align internal decisions made by managers and employees. Topics include analytical tools and techniques to address common business problems, cost information systems, budgeting, and strategic performance measurement systems. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Credit or concurrent registration in ACCY 501 or equivalent; enrollment in graduate degree program or consent of department.",ACCY 503
43,"Covers current authoritative accounting standards and applications to accounting practice. Topics include accounting for business combinations, the preparation of consolidated financial statements, and other advanced financial reporting topics. 4 graduate hours. No professional credit. Credit is not given toward graduation for both ACCY 506 and ACCY 410 or ACCY 532. Prerequisite: ACCY 501, and credit or concurrent enrollment in ACCY 502.",ACCY 506
44,"This course provides an introduction to the U.S. federal income tax treatment of corporations and pass-through entities, including Subchapter S corporations, partnerships, and limited liability companies. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given for both ACCY 507 and ACCY 451. Prerequisite: ACCY 505 or equivalent.",ACCY 507
45,"Stakeholders' needs for reliable and relevant information about the performance of firms, as well as managers; economic self-interests, influence managers' selection of accounting policies and financial reporting methods. This course selectively surveys both academic research and professional standards to focus on the measurement, classification and disclosure of financial transactions. Cases, class discussion and research projects emphasize independent thinking, group processes, and communication. 4 graduate hours. No professional credit. Prerequisite: ACCY 410 and enrollment in the BS/MAS in Accountancy program or consent of department.",ACCY 510
46,"Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes. 4 graduate hours. No professional credit. Prerequisite: Enrollment in graduate accounting degree program or consent of department.",ACCY 512
47,"Role of professional and ethical standards in the conduct of auditing and assurance services and the role of auditing and assurance services in corporate governance and capital markets. This course selectively surveys both academic and professional literature to focus on the conduct of auditing and assurance services. Cases, class discussion, group projects, and data analytics using Tableau emphasize the importance of critical thinking, group processes, and communication for professional accounting practice. Real-world scenarios assist in implementing auditing standards. 4 graduate hours. No professional credit. Prerequisite: ACCY 405 and enrollment in the BS/MS in Accountancy program or consent of department.",ACCY 515
48,"Covers key principles of accountants' professional responsibility in their jobs, organizations, and careers, and adopts both theoretical and practical perspectives of the role of ethics and morals within the accounting discipline. The course begins with a general overview of these key constructs and principles, including various philosophies from a variety of disciplines and cultures. Next, the course provides a historical perspective of major instances of accounting-related ""failures"" and ""successes"" in the area of professional responsibility and ethics. This historical perspective provides the underlying reasoning for many contemporary codes of conduct, ethics, and professional guidelines. A variety of experiential learning opportunities will help students explore and develop their own perspective on ethics and morals, and how these principles affect their professional roles, responsibilities, and choices. 3 or 4 graduate hours. No professional credit.",ACCY 516
49,"Examines the tools and techniques of financial statement analysis and company valuation from the perspective of investors and creditors; emphasizes theoretical and empirical properties of financial ratios as well as valuation methods used in practice. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours, if topics vary for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given toward graduation for both ACCY 517 and ACCY 531. Prerequisite: ACCY 410 or concurrent enrollment; or ACCY 500 or equivalent; or ACCY 502 or equivalent; and enrollment in graduate degree program or consent of department.",ACCY 517
50,"Introduction to fraud examination with an emphasis on financial statement fraud. The course provides a comprehensive introduction to fraud examination. The topics addressed in the course include the unique characteristics of fraud examinations and a comparison to financial statement audits, the characteristics that should be possessed by fraud examiners, an overview of the fraud examination process, the nature and extent of fraud, an introduction to the taxonomy of financial statement frauds, techniques for evidence collection including interview techniques, Benford's law, and the development of fraud reports. 4 graduate hours. No professional credit. Prerequisite: Enrollment in graduate accounting degree program or consent of the department. This class is restricted to MAS and MSA students: Accountancy-UIUC.",ACCY 518
51,"In this Governmental and Nonprofit Accounting course, students will experience an in-depth study of governmental and nonprofit accounting practices, focusing on financial reporting, budgeting, and fund accounting. Students will gain a comprehensive understanding of the unique accounting principles and regulations applicable to the public and non-profit sectors. Students will take a deep dive into specialized areas within nonprofit and governmental accounting. This course will emphasize advanced research using various knowledgebase sources, and critical analysis. Additionally, this course involves more independent research and will require students to apply the knowledge gained in this course. By the end of the course, students will know how to create and analyze financial transactions for governmental and nonprofit entities. 4 graduate hours. No professional credit. Credit is not given toward graduation for both ACCY 419 and ACCY 519. Prerequisite: ACCY 501 or consent of department. Restricted to students enrolled in the online Master of Science in Accountancy (iMSA) program.",ACCY 519
52,"Will examine state and local tax laws prevalent in the United States today. The course will consider the historical progression of state and local taxation, the power of states to tax (and the limitations on that power), and planning strategies for minimizing the impact of state and local taxation. Income taxes are emphasized; however, other taxes such as sales and use taxes and property taxes will be discussed. 2 graduate hours. No professional credit. Prerequisite: ACCY 312 or ACCY 505, or equivalent, or consent of the department. Restricted to students enrolled in a graduate accounting degree program.",ACCY 550
53,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving corporations and their shareholders; coverage includes formations, operations, distributions, liquidations, reorganizations, and affiliations. 4 graduate hours. No professional credit. Prerequisite: ACCY 312 or ACCY 505, or equivalent, or consent of department.",ACCY 551
54,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving partnerships and their partners, including Subchapter S corporations and their shareholders. 4 graduate hours. No professional credit. Prerequisite: ACCY 312 or ACCY 505, or equivalent, or consent of department.",ACCY 552
55,"Analyzes the tax treatment, issues, planning techniques and underlying government policies involved in doing business internationally. The course incorporates concepts learned in all of the tax courses as they relate to the impact on cross border outbound transactions (i.e., the taxation of US taxpayers doing business abroad). Topics include the source of income, transfer pricing, controlled foreign corporations (CFCs), Subpart F income, foreign tax credits, Global Intangible Low-Taxed Income (GILTI), Base Erosion and Anti-Abuse Tax (BEAT), and Foreign Derived Intangible Income (FDII). While this course focuses heavily on outbound transactions, some inbound rules (i.e., non-US taxpayers doing business in the United States) will be discussed. 2 or 4 graduate hours. No professional credit. Prerequisite: Credit or concurrent enrollment in ACCY 505, ACCY 507, or ACCY 551, or equivalent, or consent of the department. Restricted to students enrolled in a graduate accounting degree program.",ACCY 554
56,"Concepts and foundations underlying data analytics for accounting. Provides fundamental knowledge of how to acquire, organize, synthesize and analyze (possibly large) volumes of data to address questions and problems. After completing this course, students should (1) have a foundational understanding of the techniques underlying data analytics, (2) recognize scenarios and identify appropriate tools for various types of data analysis and (3) use Python and Tableau to perform data analysis. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate accounting program or consent of the department.",ACCY 570
57,"Fundamental knowledge of how to perform statistical analyses useful for leveraging accounting information to solve business problems. After completing this course, students should (1) have a foundational understanding of the statistical analyses underlying data analytics, (2) recognize scenarios and identify appropriate statistical tools for various types of data analysis and (3) use common computer-based tools to perform statistical analyses. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate accounting program or consent of the department.",ACCY 571
58,"Decision making and analytic approaches to help organizations navigate disruptive changes in practices, technology, regulation, and culture to serve stakeholders (customers, employees, investors, the public). Course content focuses on identifying and quantifying risks, and balancing between achieving consistent, measurable outcomes and delivering stakeholder-driven objectives. Cases and experiential learning will emphasize developing tools to translate data into insights, tie these insights into managing stakeholder interests, and communicating these insights to decision makers. 4 graduate hours. No professional credit. Prerequisite: Enrollment in MAS or MSA program.",ACCY 574
59,"Develops knowledge regarding the role, methods, and implications of business and data analytics in accounting. Building on prior coursework on the fundamentals of statistical analysis and business/data analytics, this course provides the opportunity to apply related theoretical and practical principles to a variety of accounting scenarios, including audit, tax, fraud identification and detection, financial reporting, and managerial accounting. 4 graduate hours. No professional credit. Prerequisite: ACCY 570.",ACCY 575
60,"This course focuses on developing Python skills for assembling business data, taught within the context of multiple accounting settings (e.g., financial statement data, stock data, loan data, point-of-sale data, etc.). 2 graduate hours. No professional credit.",ACCY 576
61,"This course introduces machine learning algorithms and their applications in accounting problems. It covers classification, regression, clustering, text analysis, time series analysis. It also discusses feature importance and model optimization. 2 graduate hours. No professional credit. Prerequisite: ACCY 576.",ACCY 577
62,"Develops students’ knowledge regarding the role, methods, and implications of business and data analytics in accounting via real-world applications of fundamental and advanced analytics principles. Application opportunities span multiple areas of accounting, including audit, fraud identification and detection, financial accounting, and managerial accounting. After engaging in this course, students should (1) have a foundational understanding of the role of business / data analytics in accounting and (2) be able to apply this knowledge to real-world clients, business decisions, etc. 1 graduate hour. No professional credit. May be repeated in the same or separate semesters to a maximum of 4 hours. Prerequisite: Some sections require the completion of ACCY 576 (or equivalent), and are denoted as requiring this prerequisite.",ACCY 578
63,"A formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience required. Approved for letter and S/U grading. May be repeated to a maximum of 4 hours. Prerequisite: Open only to accountancy majors enrolled in the department's integrated bachelor/master program or students with graduate standing in accountancy; completion of 300-level accountancy courses appropriate to internship learning plan; and consent of department.",ACCY 590
64,"Seminars in various accounting areas designed to enhance the research abilities of doctoral students and to assist them in preparing research proposals; these include Behavioral Dimensions, Public Sector, Tax, Auditing, Managerial, and others announced in the Class Schedule. May be repeated. Prerequisite: Credit or concurrent registration in ACCY 592 or consent of department.",ACCY 594
65,"Provides students an introduction to microeconomics by examining such topics as: individual and household decision-making regarding how to spend income and how many hours to work; decision-making by firms about production quantities, how many workers to hire, and what price to charge to maximize profits; the well-being of consumers in competitive markets compared to oligopolies and monopolies; and the role of government when markets fail (e.g., environmental, anti-trust, labor market issues, etc.). Credit is not given toward graduation for ACE 100 if credit for ECON 102 has been earned.",ACE 100
66,Instruction and practice in solving data-related problems with microcomputers and general purpose software packages.,ACE 161
67,"Applies economic tools to analyze environmental problems and public policy formation. We will study human behavior to understand why environmental problems occur and our choice of policy tools to address problems. We will explore and critique current environmental policies in the U.S. and globally in a rigorous and constructive manner and the role of private-sector agents in solving environmental problems. Through this course, you will build your capacity for critical thinking and problem-solving. Same as ECON 210, ENVS 210, NRES 210, and UP 210.",ACE 210
68,"This course is an introduction to negotiation, with an emphasis on practical and useful knowledge that students can use throughout their financial lives, including negotiating job offers, auto purchases and sales, and residential purchases and sales. Credit is not given for ACE 221 if credit for ACE 199 NPS has been earned.",ACE 221
69,"Overview of management in the food and agribusiness sector. Major topics covered include: introduction to the food and agribusiness sector; the environment of the firm; fundamentals, structural design, and change in organizations; leadership, motivation, communication; and planning and control. Coverage is at the introductory level with a focus on textbook material and current issues.",ACE 231
70,"Economic principles are applied to the management of farms using budgeting system analysis, record analysis, financial management, and lease analysis. Problems related to resource appraisal and business organization are also addressed.",ACE 232
71,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning.",ACE 240
72,"Students will obtain practical knowledge and skills applicable to their daily lives, whether at home or in a professional context. Students learn advanced risk management, make informed investment decisions, navigate credit scenarios, retirement and estate planning, and work toward achieving their financial goals. Students will learn about current research on personal finance. The course includes an action learning component, allowing students to educate their peers and the community on advanced personal finance topics. Prerequisite: ACE 240 and a Quantitative Reasoning course.",ACE 241
73,"Women, Money, and Power will explore and develop money stories, managing money, workplace challenges, career advice, entrepreneurship, and empowerment. The course will present topics in an open and candid atmosphere, challenging historical perspectives and stereotypes about women and money. Students will learn from female financial planning professionals and entrepreneurs about their journeys. Students will leave this course with an understanding of issues women face in the financial world. Credit is not given towards graduation for ACE 242 if credit for ACE 199 AL has been earned.",ACE 242
74,"Statistics is a key tool in the data analysis process involving data collection, description, analysis, and results interpretation. This course discusses how to collect and analyze data using descriptive statistics. Random variables, probability distributions, hypothesis testing, simple linear regression, linear systems, matrices, and the theoretical underpinnings of these concepts are introduced. Emphasis is placed on examples from the field of economics to enhance students’ ability to apply appropriate models to professional and everyday problems. Credit is not given toward graduation for ACE 262 if credit for any of ECON 202, CPSC 241, STAT 100, or equivalent has been earned.",ACE 262
75,Offers the statistical and econometric tools to describe and understand common economic issues. The emphasis will be on the multiple regression model and its associated extensions regularly used to overcome traditional econometric issues. The course will introduce and use an advanced statistical software for hands-on exercises. No prior experience with the software is expected or required. Credit is not given toward graduation for ACE 264 if credit for ECON 203 or equivalent has been earned. Prerequisite: ACE 262 or equivalent.,ACE 264
76,Introduction to the study of the consumer in the American economy; sources of consumer information and consumer protection; and examination of current consumer issues within an economic framework. Prerequisite: ACE 100 or ECON 102.,ACE 270
77,"Current policy issues affecting agriculture and the legislative and rulemaking process that determines those policies will be studied. A trip to Washington, DC during spring break will give the students an opportunity to interact with legislators, federal agencies, organization leaders and representatives of the national and international agricultural policy community to better understand the policy making process and the issues moving through it. Student participation will focus on developing leadership skills and having an opportunity to meet with leaders who are actively engaged in creating and changing public policy. Additional fees may apply. See Class Schedule.",ACE 291
78,"Why could energy policy affect the profitability of farmers? Is it better to help families in developing countries with food aid or mini cash grants? Who will bear the cost of a carbon tax? Microeconomic theory helps us answer many important questions about markets and human behavior. Students will learn rigorous intermediate microeconomic theory through applications to areas such as agriculture, development, finance, consumer behavior, and the environment. Credit is not given toward graduation for both ACE 300 and ECON 302. Prerequisite: ACE 100 or ECON 102; MATH 220, MATH 221, MATH 234, or equivalent.",ACE 300
79,"Explores the legal and political dimensions of food law, policy and trade in the United States and major trading partners. Examines the development of major national and state laws that apply to production, distribution and retail sale of food. Evaluates current issues in food regulation, including: biotechnology, organics, health labeling claims, food safety and products liability litigation. Discusses food regulation in other countries within the context of international treaties such as the World Trade Organization and United Nations.",ACE 306
80,"Economic principles are used to analyze a broad range of natural resource policy and management issues. Economic concepts developed include public goods, social welfare, discounting, dynamic efficiency, and resource scarcity. Natural resources examined include biodiversity, fisheries, forests, minerals, soil, and water resources. Same as ENVS 310 and NRES 310. Prerequisite: ACE 100 or ECON 102.",ACE 310
81,"Provides students with a dive into Personal Finance, Financial Planning and FinTech. Students will develop a comprehensive understanding of how personal finance relies on Fintech to create comprehensive solutions for clients. This class will provide hands-on training in modern financial planning software, tools and cloud-based applications. Additionally, this course explores digital currencies and blockchain technology through the lens of personal finance and financial planning. Credit is not given towards graduation for ACE 344 if credit for ACE 398 TCH has been earned. Prerequisite: ACE 240 or FIN 232.",ACE 344
